sual,cavab
" Reyçel və Sara gözəllik və modellik müsabiqəsində iştirak etmək istəyirlər. Hər ikisi yeni ayaqqabı və don almaq istəyirlər. Sara 50 dollara bir cüt ayaqqabı və 200 dollara bir don alır. Reyçel Saranın ayaqqabı və donuna xərclədiyindən iki dəfə çox pul xərcləmək istəyirsə, büdcəsinə nə qədər pul ayırmalıdır?",Reyçelin ayaqqabı cütü üçün büdcə ayırması lazım olan xərc 50 dollar * 2 = $<<50*2=100>>100-dür. Reyçelin paltarı üçün büdcə ayırması lazım olan xərc 200 dollar * 2 = $<<200*2=400>>400-dür. Reyçelin büdcə ayırması lazım olan ümumi məbləğ 100 dollar + 400 dollar = $<<100+400=500>>500-dür. #### 500
" 12 meymundan ibarət bir ailə 10 banan yığdı. 6 yığının 9 əli var idi və hər birində 14 banan var idi. Qalan yığınların isə hər birində 9 banan olan 12 əli var idi. Əgər bananları öz aralarında bərabər bölsələr, hər meymun neçə banan yığardı?", İlk 6 dəstədə 6 x 9 x 14 = <<6*9*14=756>>756 banan var idi. 10 - 6 = <<10-6=4>>4 dəstə qalmışdı. Qalan 4 dəstədə 4 x 12 x 9 = <<4*12*9=432>>432 banan var idi. Cəmi 756 + 432 = <<756+432=1188>>1188 banan var idi. Hər meymun 1188/12 = <<1188/12=99>>99 banan alacaqdı. #### 99
"Zəlzələ dörd binanın çökməsinə səbəb oldu. Mütəxəssislər hər növbəti zəlzələnin əvvəlkindən ikiqat çox çökən binaların olacağını proqnozlaşdırdılar, çünki hər biri təməlləri daha az sabitləşdirəcəkdi. Daha üç zəlzələdən sonra, ilk zəlzələdən olanlar da daxil olmaqla, neçə bina çökdü?"," İkinci zəlzələ 2 * 4 = <<2*4=8>>8 binanın dağılmasına səbəb oldu. Üçüncü zəlzələ 2 * 8 = <<2*8=16>>16 binanın dağılmasına səbəb oldu. Dördüncü zəlzələ 16 * 2 = <<16*2=32>>32 binanın dağılmasına səbəb oldu. Birinci zəlzələ də daxil olmaqla, zəlzələlər 4 + 8 + 16 + 32 = <<4+8+16+32=60>>60 binanın dağılmasına səbəb oldu. #### 60"
" Ceyms Çikaqodakı bir universitetdə birinci kurs tələbəsidir. Onun semestr üçün 1000 dollar büdcəsi var. O, pulunun 30%-ni yeməyə, 15%-ni yaşayışa, 25%-ni əyləncəyə, qalanını isə kurs materiallarına xərcləyir. Kurs materiallarına nə qədər pul xərcləyir?",Yaşayış yeri 15% * $1000=$<<15*.01*1000=150>>150 Yemək 30% * $1000=$<<30*.01*1000=300>>300 Əyləncə 25% * $1000=$<<25*.01*1000=250>>250 Kurs materialları beləliklə $1000-($150+$300+$250) = $300 #### 300
" Avanın ad günüdür. Valideynləri 13 dollara təkbuynuzlu pinatalar alıb, içini onun ən sevdiyi şirniyyatlarla doldurdular. Onlar hər biri 9 dollara 4 paket Reese's, hər biri 5 dollara 3 paket Snickers və hər biri 7 dollara 5 paket Skittles aldılar. Təkbuynuzlu pinatalar və şirniyyatlar cəmi nə qədərə başa gəldi?"," Reese's-in dörd çantasının qiyməti 9 dollar x 4 = $<<9*4=36>>36. Snickers-in üç çantasının qiyməti 5 dollar x 3 = $<<5*3=15>>15. Skittles-in beş çantasının qiyməti 7 dollar x 5 = $<<7*5=35>>35. Buna görə də, təkbuynuzlu piñata və şirniyyatlar 13 dollar + 36 dollar + 15 dollar + 35 dollar = $<<13+36+15+35=99>>99. #### 99"
"Kerolin gündə 20 dəqiqə pianoda, üç dəfə isə skripkada ifa edir. Əgər həftədə altı gün məşq edirsə, dörd həftəlik bir ayda neçə dəqiqə məşq edir?", Əvvəlcə Kerolinin fortepiano məşq vaxtını üçqat artıraraq ümumi skripka məşq vaxtını tapın: 20 dəqiqə/gün * 3 = <<20*3=60>>60 dəqiqə/gün Sonra onun hər gün məşq etməyə sərf etdiyi ümumi vaxtı tapın: 60 dəqiqə/gün + 20 dəqiqə/gün = <<60+20=80>>80 dəqiqə/gün Sonra onun hər həftə məşq etməyə sərf etdiyi ümumi vaxtı tapın: 80 dəqiqə/gün * 6 gün/həftə = <<80*6=480>>480 dəqiqə/həftə Sonra onun hər ay məşq etməyə sərf etdiyi ümumi vaxtı tapın: 480 dəqiqə/həftə * 4 həftə/ay = <<480*4=1920>>1920 dəqiqə/ay #### 1920
" 90 meqabayt ölçüsündə olan fayl ilk 60 meqabaytında saniyədə 5 meqabayt, daha sonra isə saniyədə 10 meqabayt sürətlə yüklənir. Tamamilə yükləmək üçün nə qədər vaxt lazımdır (saniyələr)?",İlk 60 meqabayt 60/5=<<60/5=12>>12 saniyə çəkir. 90-60=<<90-60=30>>30 meqabayt qalır. Qalan 30 meqabayt 30/10=<<30/10=3>>3 saniyə çəkir. Və 12+3=<<12+3=15>>15 saniyə çəkir. #### 15
" Sem Karlosun əzbərlədiyindən altı rəqəm çox pi ədədini əzbərləmişdi. Mina Karlosun əzbərlədiyindən altı dəfə çox pi rəqəmini əzbərləmişdi. Əgər Mina pi ədədinin 24 rəqəmini əzbərləmişdisə, Sem neçə rəqəm əzbərləmişdi?", Karlos 24/6=<<24/6=4>>Pi ədədinin 4 rəqəmini əzbərləyib. Sem isə 4+6=10 Pi rəqəmini əzbərləyib. #### 10
" Dəniz sahilinə məktəb gəzintisi zamanı Alan və dostları dəniz mərmisi yığdılar. Alan Bendən dörd dəfə çox dəniz mərmisi yığdı. Ben gec başladı və Lorinin topladığından yalnız üçdə birini topladı. Əgər Lori 36 dəniz mərmisi yığırdısa, Alan neçə dəniz mərmisi toplayardı?", Ben 36/3=<<36/3=12>>12 mərmi Alan 12*4=<<12*4=48>>48 mərmi toplayıb #### 48
"Gerald beysbol ləvazimatlarına ayda 100 dollar xərcləyir. Onun mövsümü 4 ay davam edir. Beysbol oynamadığı ayları qazonları dırmaşdırmaq, kürəkləmək və biçməklə pul yığmaq üçün istifadə etmək istəyir. Hər biri üçün 10 dollar alır. Ləvazimatları üçün ayda orta hesabla neçə iş görməlidir?"," O, 400 dollar qənaət etməlidir, çünki 4 x 100 = <<4*100=400>>400 Bu pulu qazanmaq üçün 8 ayı var, çünki 12 - 4 = <<12-4=8>>8 O, ayda 50 dollar qazanmalıdır, çünki 400 / 8 = <<400/8=50>>50 O, ayda 5 tapşırıq yerinə yetirməlidir, çünki 50 / 10 = <<50/10=5>>5 #### 5"
" Ann pərdələr düzəltmək üçün parça kəsir. O, qonaq otağı üçün 4 fut x 6 fut, yataq otağı üçün isə 2 fut x 4 fut ölçülü düzbucaqlı kəsir. Əgər parçanın boltunun ölçüsü 16 fut x 12 futdursa, kvadrat futla nə qədər parça qalıb?","Əvvəlcə orijinal parça boltunun neçə kvadrat fut olduğunu hesablayın: 16 fut * 12 fut = <<16*12=192>>192 kvadrat fut Sonra Ann-in qonaq otağı pərdələri üçün nə qədər parça aldığını hesablayın: 4 fut * 6 fut = <<4*6=24>>24 kvadrat fut Sonra Ann-in vanna otağı pərdələri üçün nə qədər parça aldığını hesablayın: 2 fut * 4 fut = <<2*4=8>>8 kvadrat fut Nəhayət, hər iki pərdə dəstinin kvadrat futunu ümumi kvadrat futdan çıxın: 192 - 24 - 8 = <<192-24-8=160>>160 kvadrat fut #### 160"
" Arnelin hər qutuda eyni sayda qələm olan on qutu karandaş var idi. O, on karandaş saxladı və qalan karandaşları beş dostu ilə bərabər bölüşdürdü. Əgər dostlarının hər birində səkkiz karandaş varsa, hər qutuda neçə karandaş var?"," Arnel dostları ilə 5 x 8 = <<5*8=40>>40 qələm paylaşdı. Beləliklə, onun cəmi 10 + 40 = <<10+40=50>>50 qələmi var idi. Buna görə də, hər qutunun içərisində 50/10 = <<50/10=5>>5 qələm var idi. #### 5"
"Keleb 10 qutu dondurma və 4 qutu dondurulmuş qatıq aldı. Hər dondurma qutusu 4 dollar, hər dondurulmuş qatıq qutusu isə 1 dollar idi. Keleb dondurmaya dondurulmuş qatıqdan nə qədər çox pul xərclədi?", Dondurmanın qiyməti 10 × 4 dollar = $<<10*4=40>>40-dır. Dondurulmuş qatığın qiyməti 4 × 1 dollar = $<<4*1=4>>4-dür. Keleb dondurmaya dondurulmuş qatıqdan 40 dollar − 4 dollar = 36 dollar daha çox pul xərcləyib. #### 36
" Leah məhəllədə təsadüfi işlərdə işləyərək 28 dollar qazanırdı. O, pulun yeddidə birini süd kokteyli almağa xərcləyir, qalan pulun yarısını isə əmanət hesabına qoyur. Qalan pulu cüzdanında saxlayırdı. İti onun cüzdanını götürüb içindəki bütün pulları xırdalayır, amma 1 dollar. Leah neçə dollar itirdi?","Leah 28 / 7 = $<<28/7=4>>4 milkshake xərclədi. Onun 28 - 4 = $<<28-4=24>>24 qalmışdı. Yarısını əmanət hesabına, yarısını isə cüzdanına qoydu, beləliklə, cüzdanında 24 / 2 = $<<24/2=12>>12 qaldı. İti cüzdanındakı bütün pulları xırdaladı, amma 1 dollar, beləliklə, Leah 12 - 1 = $<<12-1=11>>11 itirdi. #### 11"
 Bağda 25 qızılgül var. 40 lalə var. 35 papatya var. Çiçəklərin neçə faizi qızılgül deyil?," Cəmi 25+40+35=<<25+40+35=100>>100 çiçək var. 40+35=<<40+35=75>>75 gül olmayan çiçək var. Buna görə də, (75/100)*100=<<(75/100)*100=75>>Çiçəklərin 75%-i gül deyil. #### 75"
" Leonun tapşırığı üç hissəyə bölünmüşdü. O, tapşırığın birinci hissəsini 25 dəqiqəyə bitirdi. İkinci hissəni bitirmək üçün iki dəfə çox vaxt lazım oldu. Əgər tapşırığını 2 saata bitirə bilsəydi, Leo tapşırığın üçüncü hissəsini neçə dəqiqəyə bitirdi?","Tapşırığın ikinci hissəsini Leoya 25 x 2 = <<25*2=50>>50 dəqiqə vaxt sərf etdi. Leoya tapşırığın birinci və ikinci hissələrini 25 + 50 = <<25+50=75>>75 dəqiqəyə tamamladı. O, bütün tapşırığı 60 x 2 = <<60*2=120>>120 dəqiqəyə tamamladı. Buna görə də, Leoya tapşırığın üçüncü hissəsini tamamlamaq üçün 120 - 75 = <<120-75=45>>45 dəqiqə vaxt sərf etdi. #### 45"
" Liza peçenye hazırlamaq üçün 10 kiloqram kərə yağı aldı. O, bunun yarısını şokolad parçaları ilə hazırlanmış peçenye, beşdə birini fıstıq yağı ilə hazırlanmış peçenye və qalan yağın üçdə birini şəkərli peçenye üçün istifadə etdi. Bu üç növ peçenye hazırladıqdan sonra neçə kiloqram kərə yağı qalır?","Liza şokoladlı peçenye üçün 10/2 = <<10/2=5>>5 kiloqram kərə yağı istifadə etdi. Sonra o, fıstıq yağı peçenyeləri üçün 10/5 = <<10/5=2>>2 kiloqram kərə yağı istifadə etdi. O, şokolad və fıstıq yağı peçenyeləri üçün 5 + 2 = <<5+2=7>>7 kiloqram kərə yağı istifadə etdi. Beləliklə, yalnız 10 -7 = <<10-7=3>>3 kiloqram kərə yağı qaldı. Sonra Liza şəkərli peçenyelər üçün 3/3 = <<3/3=1>>1 kiloqram kərə yağı istifadə etdi. Buna görə də, yalnız 3-1 = <<3-1=2>>2 kiloqram kərə yağı qaldı. #### 2"
" Statistika tələbəsi orta məktəb şagirdlərinin orta gündəlik təqaüdünü öyrənmək istəyir. Onun sorğusuna görə, şagirdlərin 2/3-ü gündə orta hesabla 6 dollar, qalanları isə gündə orta hesabla 4 dollar təqaüd alır. Əgər o, 60 şagird arasında sorğu keçiribsə, həmin 60 şagirdin bir gündə ümumi qazancı nə qədərdir?",60 tələbə x 2/3 = <<60*2/3=40>>Gündəlik 6 dollar müavinəti olan 40 tələbə var. 60 tələbə isə - 40 tələbə = <<60-40=20>>Gündəlik 4 dollar müavinəti olan 20 tələbə var. Gündəlik 6 dollar alan 40 tələbənin müavinətlərinin cəmi 40 tələbə x 6 dollar/gün = $<<40*6=240>>240-dır. Gündəlik 4 dollar alan 20 tələbənin müavinətlərinin cəmi 20 tələbə x 4 dollar/gün = $<<20*4=80>>80-dir. Həmin 60 tələbənin ümumi gündəlik pul məbləği 240 dollar + 80 dollar = $<<240+80=320>>320-dir. #### 320
" Coan hər saat ticarət mərkəzinin içindəki fəvvarədən sikkələri yığmalıdır. İlk saat ərzində o, 15 sikkə topladı. Növbəti iki saat ərzində o, fəvvarədən 35 sikkə topladı. Dördüncü saatda o, fəvvarədən 50 sikkə topladı, lakin qazlı içki almaq üçün onlardan 15-ni iş yoldaşına verdi. Dördüncü saatdan sonra onun neçə sikkəsi qaldı?",Birinci saatda 15 sikkə toplandı İkinci saatda 35 sikkə toplandı Üçüncü saatda 35 sikkə toplandı Dördüncü saatda 50 sikkə toplandı Həmkarına bir neçə sikkə verməzdən əvvəl 15+35+35+50=<<15+35+35+50=135>>135 sikkə var idi. Həmkarına 15 verildikdən sonra qalan sikkələrin sayı 135-15=<<135-15=120>>120 #### 120
" Cerrinin iki qızı müxtəlif komandalarda softbol oynayır. Onların hər biri bu mövsüm 8 oyun keçirir. Hər komanda oynadığı hər oyun üçün 4 saat məşq edir. Əgər hər oyun 2 saat davam edərsə, Cerri meydanda qızlarının oyununu və məşqini izləmək üçün cəmi neçə saat vaxt keçirəcək?","Cerri 8 oyun x hər oyunda 2 saat = <<8*2=16>>16 saat bir qızının oyunlarını izləyəcək. O, 16 x 2 = <<16*2=32>>32 saat hər iki qızının oyunlarını izləyəcək. O, 8 oyun x 4 saat məşq = <<8*4=32>>32 saat bir qızının məşqini izləyəcək. O, 32 x 2 = <<32*2=64>>64 saat hər iki qızının məşqini izləyəcək. O, cəmi 32 saat oyun izləyəcək + 64 saat məşq izləyəcək = <<32+64=96>>96 saat. #### 96"
" Ayı qış üçün qış yuxusuna hazırlaşır və 1000 funt çəki almalıdır. Yayın sonunda ayı giləmeyvə və kiçik meşə heyvanları ilə qidalanır. Payızda palıd qozası və qızılbalıq yeyir. Yayda giləmeyvələrdən lazım olan çəkinin beşdə birini, payızda isə palıd qozasından ikiqat çəki almışdır. Qızılbalıq qazanmaq üçün lazım olan qalan çəkinin yarısını təşkil edirdi. Kiçik heyvanları yeyərək neçə funt çəki almışdır?","Ayı giləmeyvələrdən 1 / 5 * 1000 = <<1/5*1000=200>>200 funt çəki aldı. O, palıd qozasından 2 * 200 = <<2*200=400>>400 funt çəki aldı. Ona hələ də 1000 - 200 - 400 = <<1000-200-400=400>>400 funt çəki lazım idi. Beləliklə, o, qızılbalıqdan 400 / 2 = <<400/2=200>>200 funt çəki aldı. Buna görə də, ayı kiçik heyvanlardan 400 - 200 = <<400-200=200>>200 funt çəki aldı. #### 200"
" 24 qutuda 290 litr yağ var. Əgər qutulardan 10-u hər birinə 8 litr yağ tutursa, qalan qutuların hər birində nə qədər yağ var?", 10 qutu hər biri 8 litr olmaqla cəmi 10 * 8 = <<10*8=80>>80 litr tutur. 290 - 80 = <<290-80=210>>210 litr qalıb. 24 - 10 =<<24-10=14>>14 qutu qalıb. Qalan qutuların hər birində 210 / 14 = <<210/14=15>>15 litr su var. #### 15
"Şonanın məşq məqsədi 30 dəfə təkrarlamaqdır. Bazar ertəsi günü Şon yalnız 12 təkrar edə bildi, ona görə də çərşənbə axşamı qalanını kompensasiya etmək qərarına gəldi. Lakin çərşənbə axşamı günü yalnız 19 təkrar edə bildi. Şonanın minimum hədəfinə çatmaq və etmədiyi təkrarları kompensasiya etmək üçün çərşənbə günü neçə təkrar etməli idi?", Bazar ertəsi günü Şonaya 30 - 12 = <<30-12=18>>18 təkrarlama çatışmırdı. Çərşənbə axşamı günü Şonaya 30 - 19 = <<30-19=11>>11 təkrarlama çatışmırdı. Çərşənbə günü Şonaya 30 + 18 + 11 = <<30+18+11=59>>59 təkrarlama etməli idi #### 59
" Ceyms əsas işində işləyərkən saatda 20 dollar qazanır. İkinci işində işləyərkən 20% az qazanır. Əsas işində 30 saat, ikinci işində isə bunun yarısı qədər işləyir. Həftədə nə qədər qazanır?","Ceyms ikinci işində işləyərkən 20*.2=$<<20*.2=4>>4 az qazanır. Beləliklə, o, saatda 20-4=$<<20-4=16>>16 qazanır. İlk işində 20*30=$<<20*30=600>>600 qazanır. O, ikinci işində 30/2=<<30/2=15>>15 saat işləyir. Beləliklə, o, 15*16=$<<15*16=240>>240 qazanır. Beləliklə, o, həftədə 600+240=$<<600+240=840>>840 qazanır. #### 840"
" Li bir qazon biçir və 33 dollar alır. Keçən həftə o, 16 qazon biçdi və üç müştərinin hər biri ona 10 dollarlıq çaypulu verdi. Li keçən həftə qazon biçməklə neçə dollar qazandı?", 33 * 16 = $<<33*16=528>>528 3 * 10 = $<<3*10=30>>30 528 + 30 = $<<528+30=558>>558 Li keçən həftə qazon biçməklə 558 dollar qazandı. #### 558
" Tara 1000 dollara başa gələn noutbuk almağı planlaşdırır. Kompüter mağazası 20% ilkin ödəniş etmək şərti ilə ayda 65 dollar hissə-hissə ödəniş qəbul edir. Əgər Tara ilkin ödəniş üçün əlavə 20 dollar ödəmək istəyirsə, 4 ay ərzində ödəniş etdikdən sonra onun balansı nə qədər olacaq?","Tara 1000 dollar x 20/100 = $<<1000*20/100=200>>200 ilkin ödəniş etməlidir. Tara ilkin ödəniş üçün daha 20 dollar ödəmək istədiyi üçün onun ümumi ilkin ödənişi 200 dollar + 20 dollar = $<<200+20=220>>220 olacaq. Beləliklə, onun bir il ərzində ödəniləcək qalan məbləği 1000 - $220 = $<<1000-220=780>>780-dir. Tara aylıq ödənişi ildə 780 dollar / 12 ay/il = $<<780/12=65>>65/ay etməlidir. Onun 4 aylıq ödənişlərinin ümumi dəyəri ayda 65 dollar x 4 ay = $<<65*4=260>>260-dır. Buna görə də, Taranın 4 aydan sonrakı balansı 780 - 260 dollar = 520 dollardır. #### 520"
" Jesse və Mia bir həftəlik yarışda yarışırlar. Onların 30 mil qaçmaq üçün bir həftəsi var. İlk üç gündə Jesse orta hesabla (2/3) mil qaçır. Dördüncü gündə o, 10 mil qaçır. Mia ilk 4 gündə orta hesabla gündə 3 mil qaçır. Son üç gündə qaçmalı olduqları orta göstəricinin ortalaması nə qədərdir?","Jesse ilk üç gündə 2 mil qaçır, çünki 3 x (2/3) = <<3*(2/3)=2>>2 Jesse-nin qaçmaq üçün 18 mili qalıb, çünki 30 - 10 - 2 = <<30-10-2=18>>18 Jesse gündə orta hesabla 6 mil qaçmalıdır, çünki 18 / 3 = <<18/3=6>>6 Mia ilk dörd gündə 12 mil qaçır, çünki 4 x 3 = <<4*3=12>>12 Onun qaçmaq üçün 18 mili qalıb, çünki 30 - 12 = <<30-12=18>>18 O, gündə altı mil qaçmalıdır, çünki 18 / 3 = <<18/3=6>>6 Hər ikisinin qaçmalı olduqları ümumi məsafə <<12=12>>gündə 12 mildir. Orta hesabla gündə qaçmalı olduqları orta məsafə 6 mildir, çünki 12 / 2 = <<12/2=6>>6 #### 6"
" Elzanın əlindəki sikkələrin Amalieninkinə nisbəti 10:45-dir. Əgər onların ümumi sikkələrinin sayı 440-dırsa və Amalienin 3/4 hissəsini oyuncaqlara xərcləyirsə, neçə ədədi ilə qalacaq?","Hər ikisinin sahib olduğu sikkələrin ümumi nisbəti 10+45 = <<10+45=55>>55-dir. Amalienin sahib olduğu sikkələrin sayını təmsil edən nisbətin kəsri 45/55-dir və hər ikisinin sahib olduğu sikkələrin ümumi sayı 440 olduğundan, Amalienin 45/55*440 = <<45/55*440=360>>360 sikkəsi var. Amalienin sahib olduğu pulun 3/4 hissəsini xərclədikdə, o, 3/4*360 = <<3/4*360=270>>270 sikkədən imtina edir. Onun hələ də 360 sikkəsi var - 270 sikkə = <<360-270=90>>90 sikkə #### 90"
 Karli hər biri 5 qolu olan 7 dəniz ulduzu və 14 qolu olan bir dəniz ulduzu topladı. Topladığı heyvanların cəmi neçə qolu var?, Əvvəlcə dəniz ulduzu qollarının ümumi sayını tapın: 7 dəniz ulduzu * 5 qol/dəniz ulduzu = <<7*5=35>>35 qol Sonra dəniz ulduzu qollarının ümumi sayını tapmaq üçün dəniz ulduzu qollarının sayını toplayın: 35 qol + 14 qol = <<35+14=49>>49 qol #### 49
" Timin Martadan 30 az alması var, Harrinin isə Timdən iki dəfə az alması var. Əgər Martanın 68 alması varsa, Harrinin neçə alması var?",Timin 68-30 = <<68-30=38>>38 alma var. Harrinin 38/2 = <<38/2=19>>19 alma var. #### 19
 Hillari bit bazarında əl işi sənətkarlıq məhsullarını hər birini 12 dollara satır. Bu gün Hillari 3 sənətkarlıq məhsulu satır və minnətdar bir müştəridən əlavə 7 dollar alır. Daha sonra Hillari bugünkü mənfəətindən 18 dolları bank hesabına yatırır. Depozit qoyduqdan sonra Hillari neçə dollar qazanır?," Hillari hər birini 12 dollara 3 sənətkarlıq məmulatı satır, cəmi 3 sənətkarlıq * 12 dollar/sənətkarlıq = $<<3*12=36>>36 O, müştəridən əlavə 7 dollar alır və bununla da ümumi məbləğ 36 dollar + 7 dollar = $<<36+7=43>>43-ə çatır. Daha sonra o, banka 18 dollar yatırır və onun 43 - 18 dollar = 25 dolları qalır. #### 25"
"Nensi akvariumda balıqları üçün su doldurur. O, akvariumu yarıya qədər doldurur və qapını açmağa gedir. O, gedərkən pişiyi akvariumu aşırır və içindəki suyun yarısını tökür. Sonra Nensi geri qayıdır və akvariumdakı suyun miqdarını üç dəfə artırır. Əgər akvariumun uzunluğu 4 fut, eni 6 fut və hündürlüyü 3 futdursa, akvariumda neçə kub fut su var?"," Əvvəlcə akvariumun həcmini onun uzunluğunu, enini və hündürlüyünü vurmaqla hesablayın: 4 fut * 6 fut * 3 fut = <<4*6*3=72>>72 kub fut Sonra pişik onu yıxdıqdan sonra akvariumun hansı hissəsinin dolu olduğunu tapın: 1/2 * 1/2 = 1/4 Sonra Nensi onu yenidən doldurduqdan sonra akvariumun hansı hissəsinin dolu olduğunu tapın: 3 * 1/4 = 3/4 İndi dolu akvariumun nisbətini akvariumun həcminə vurun ki, orada nə qədər su olduğunu öyrənəsiniz: 72 kub fut * 3/4 = <<72*3/4=54>>54 kub fut #### 54"
"Oyundan sonra beysbol komandası üçün qəlyanaltı hazırlamaq növbəsi Rocerdədir və o, cığır qarışığı gətirmək qərarına gəlib. Cığır qarışığı 6 fərdi paketdən ibarət paketlərdə gəlir. Rocerin beysbol komandasında 13 üzvü, üstəgəl 3 məşqçisi və 2 köməkçisi var. Onun neçə paket cığır qarışığı alması lazımdır?"," Rocer 13 + 3 + 2 = <<13+3+2=18>>18 paket cığır qarışığına ehtiyac duyacaq. Cığır qarışığı paketlərinin miqdarını hər paketdəki miqdara bölsək, 18 / 6 = <<18/6=3>>3 paket cığır qarışığı alınır. #### 3"
 Dörd nəfər cəmi 103 kiloqram arıqladı. Birinci şəxs 27 kiloqram arıqladı. İkinci şəxs birinci şəxsdən 7 kiloqram az arıqladı. Qalan iki nəfər də eyni miqdarda arıqladı. Son iki nəfərin hər biri neçə kiloqram arıqladı?, İkinci şəxs = 27 - 7 = <<27-7=20>>20 kq 103 - 27 - 20 = <<103-27-20=56>>56 kq 56/2 = <<56/2=28>>28 kq Son iki nəfərin hər biri 28 kiloqram çəki itirib. #### 28
"Deyl və Endryu kafedə səhər yeməyi yedilər. Bir dilim tost 1 funt sterlinqə, yumurta isə 3 funt sterlinqə başa gəldi. Deyldə 2 dilim tost və 2 yumurta var idi. Endryuda 1 dilim tost və 2 yumurta var idi. Onların səhər yeməyi nə qədərə başa gəldi?", Deylin tostunun qiyməti 2 × 1 dollar = $<<2*1=2>>2-dir. Endryu tostunun qiyməti 1 × 1 dollar = $<<1*1=1>>1-dir. Deylin yumurtasının qiyməti 2 × 3 dollar = $<<2*3=6>>6-dır. Endryu yumurtasının qiyməti 2 × 3 dollar = $<<2*3=6>>6-dır. Onların səhər yeməyinin qiyməti 2 dollar + 1 dollar + 6 dollar + 6 dollar = $<<2+1+6+6=15>>15-dir. #### 15
" Bağ xiyarlardan 237 kartof, 60 az xiyar və iki dəfə çox bibər istehsal etmişdir. Bağ neçə tərəvəz istehsal etmişdir?", Bağda 237 kartof istehsal olunub - 60 = <<237-60=177>>177 xiyar. Bağda 177 xiyar * 2 bibər/xiyar = <<177*2=354>>354 bibər. Bağda 237 kartof + 177 xiyar + 354 bibər = <<237+177+354=768>>768 tərəvəz istehsal olunub. #### 768
"Boksçunun döyüşdən 4 ay sonra çəkisi 97 kq-dır. O, döyüş gününə qədər ayda 3 kq arıqlamağa imkan verən bir pəhriz saxlayır. Döyüş günü nə qədər çəki çəkəcək?"," 4 ay ərzində o, 3 x 4 = <<3*4=12>>12 kiloqram arıqlayacaq. Beləliklə, onun çəkisi 97 – 12 = <<97-12=85>>85 kiloqram olacaq. #### 85"
" Manninin 24 sinif yoldaşı və müəllimi cənab Keytlə bölüşmək üçün 3 ad günü peçenyesi piroqu var idi. Əgər peçenye piroqlarının hər biri 10 dilimə kəsilmişsə və Menni, sinif yoldaşları və cənab Keytdə 1 ədəd qalıbsa, neçə dilim qalıb?", Cəmi 3 x 10 = <<3*10=30>>30 peçenye dilimi var. Peçenye tikələrini yeyən 24 + 1 + 1 = <<24+1+1=26>>26 nəfər var. 30 - 26 = <<30-26=4>>4 peçenye dilimi qalıb. #### 4
 Ceyms müəllimliyə 40 il sərf edib. Onun həyat yoldaşı 10 il az müəllimlik edib. Onların ümumi təcrübəsi nə qədərdir?,"Onun ortağı 40-10=<<40-10=30>>30 ildir ki, müəllimlik edir. Beləliklə, onların birlikdə 40+30=<<40+30=70>>70 illik təcrübəsi var #### 70"
" Cennifer, sinif yoldaşı Markla görüşməzdən əvvəl mağazadan 40 qutu süd aldı. Mark da süd alırdı. Cennifer Markın aldığı hər 5 qutu üçün əlavə 6 qutu aldı. Əgər Mark 50 qutu alıbsa, Cennifer mağazadan evə neçə qutu süd gətirdi?"," Əgər Mark 50 qutu süd alıbsa, Cenniferin Markın aldığı hər 5 qutuya 6 qutu əlavə etmə sayı 50/5 = <<50/5=10>>10 dəfədir. Aldığı əlavə qutuların ümumi sayı 10*6 = <<10*6=60>>60 qutudur. Əgər əvvəlcə 40 qutusu varsa, evə 40+60 = <<40+60=100>>100 qutu süd ilə gedib. #### 100"
"Tənəffüsdə Sem və Ceff arasında tullanma yarışı keçirildi. Yarış dörd raunddan ibarət idi. Sem birinci raundda Ceffdən 1 dəfə çox tullanma etdi. Ceff ikinci raundda Semdən 3 dəfə az tullanma etdi. Ceff üçüncü raundda Semdən 4 dəfə çox tullanma etdi. Ceff yoruldu və son raundda Semdən fərqli olaraq tullanma sayının yalnız yarısını tamamladı. Əgər Sem hər raundda 16 dəfə tullanma edibsə, Ceff hər raundda orta hesabla nə qədər tullanma yerinə yetirir?", Birinci raundda Jeff 16 - 1 = <<16-1=15>>15 xal topladı. İkinci raundda Jeff 16 - 3 = <<16-3=13>>13 xal topladı. Üçüncü raundda Jeff 16 + 4 = <<16+4=20>>20 xal topladı. Dördüncü raundda Jeff 16 / 2 = <<16/2=8>>8 xal topladı. Jeff 15 + 13 + 20 + 8 = <<15+13+20+8=56>>cəmi 56 xal topladı. Jeff orta hesabla hər raundda 56 / 4 = <<56/4=14>>14 xal topladı. #### 14
"İrene həftədə 40 saat işləsə 500 dollar qazanır və hər saat əlavə iş üçün əlavə 20 dollar alır. Əgər o, keçən həftə 50 saat işləyibsə, onun ümumi gəlirini hesablayın."," Əgər İrene ötən həftə 50 saat işləyibsə, əlavə iş saatları kimi hesablanan ümumi saatların sayı 50-40 = <<50-40=10>>10 saatdır. Əlavə iş saatlarının hər saatı üçün 20 dollar aldığı üçün əlavə iş saatlarında 10*$20 = $<<10*20=200>>200 qazanıb. Əlavə iş saatları da daxil olmaqla, onun ümumi gəliri 500$+$200= $<<500+200=700>>700-dür. #### 700"
